Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6605764,Osvícení,Stephen  King,"King, Stephen","Ivan Němeček, Petr Bauer","=""8085601583""","=""9788085601589""",0,Laser,Hardcover,404,1993,1977,,2026/05/10,,,read,,,,0,0
8248062,"Dívka, která kopla do vosího hnízda (Milénium, #3)",Stieg Larsson,"Larsson, Stieg",,"=""8072943480""","=""9788072943487""",0,Host,Hardcover,688,2010,2007,,2026/05/10,,,read,,,,0,0
7808980,"Dívka, která si hrála s ohněm  (Milénium, #2)",Stieg Larsson,"Larsson, Stieg",Azita Haidarová,"=""8072943219""","=""9788072943210""",0,Host,Hardcover,608,2009,2006,,2026/05/10,,,read,,,,0,0
7808957,"Muži, kteří nenávidí ženy (Milénium, #1)",Stieg Larsson,"Larsson, Stieg",Azita Haidarová,"=""8072942875""","=""9788072942879""",0,Host,Hardcover,530,2008,2005,,2026/05/10,,,read,,,,0,0
18372925,Žena v kleci,Jussi Adler-Olsen,"Adler-Olsen, Jussi",Kristina Václavů,"=""""","=""9788072946624""",0,Host,Paperback,408,2012,2007,,2026/05/10,,,read,,,,0,0
141191148,Zatmění,Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8076624754""","=""9788076624757""",0,Kniha Zlín,Hardcover,544,2023,2022,,2026/05/10,,,read,,,,0,0
53122884,"Nůž (Harry Hole, #12)",Jo Nesbø,"Nesbø, Jo",,"=""""","=""""",0,Kniha Zlín,Unknown Binding,584,2019,2019,,2026/05/10,,,read,,,,0,0
28594688,"Žízeň (Harry Hole, #11)",Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8074735338""","=""9788074735332""",0,KNIHA ZLIN,Hardcover,597,2017,2017,,2026/05/10,,,read,,,,0,0
24580607,"Policie (Harry Hole, #10)",Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8074732703""","=""9788074732706""",0,KNIHA ZLIN,Hardcover,607,2015,2013,,2026/05/10,,,read,,,,0,0
22669982,Přízrak (Harry Hole #9),Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8074732215""","=""9788074732218""",0,Kniha Zlín,Hardcover,515,2014,2011,,2026/05/10,,,read,,,,0,0
18525414,Levhart (Harry Hole #8),Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8087497716""","=""9788087497715""",0,Kniha Zlín,Hardcover,722,2013,2009,,2026/05/10,,,read,,,,0,0
15787521,"Sněhulák (Harry Hole, #7)",Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8087497457""","=""9788087497456""",0,Kniha Zlín,Hardcover,500,2012,2007,,2026/05/10,,,read,,,,0,0
13485637,"Spasitel (Harry Hole, #6)",Jo Nesbø,"Nesbø, Jo",Kateřina Krištůfková,"=""8087497082""","=""9788087497081""",0,Kniha Zlín,Hardcover,526,2012,2005,,2026/05/10,,,read,,,,0,0
10058900,"Pentagram (Harry Hole, #5)",Jo Nesbø,"Nesbø, Jo",Iwona Zimnicka,"=""8324589945""","=""9788324589944""",0,Wydawnictwo Dolnośląskie,Paperback,376,2010,2003,,2026/05/10,,,read,,,,0,0
