author_name,cz_title,en_title,language,desc
Jules Verne,Dvacet tisíc mil pod mořem,Twenty Thousand Leagues Under the Sea,CZ,
Jules Verne,Tajuplný ostrov,The Mysterious Island,CZ,
Jules Verne,Plující město,A Floating City,CZ,
Jules Verne,Los číslo 9672,Ticket No. 9672,CZ,
Jean Paul Sartre,Zeď,The Wall,CZ,
Jean Paul Sartre,Nevolnost,Nausea,CZ,
Jean Paul Sartre,Bytí a nicota,Being and Nothingness,CZ,
Gabriel Garcia Marquez,Sto roků samoty,One Hundred Years of Solitude,CZ,
Gabriel Garcia Marquez,Oči modrého psa,Eyes of a Blue Dog,CZ,
Dr. Joe Dispenza,Zbavte se zvyku být sami sebou,Breaking the Habit of Being Yourself,CZ,
Karel Polacek,Bylo nás pět,There Were Five of Us,CZ,
John Steinback,O myších a lidech,Of Mice and Men,CZ,
Yomi Adegoke,The List (nepřeloženo),The List,EN,
Lucy Gilmore,Klub osamělých srdcí (nepřeloženo),The Lonely Hearts Book Club,EN,
Graham Allison,Osudová past,Destined for War,CZ,
Richard Hooker,MASH,MASH,EN,
Petr Ludwig,Konec prokrastinace,The End of Procrastination,CZ,
Aneta Martinek,Organizační porno,,CZ,
Jack Kerouac,Na cestě,On the Road,EN,
Magda Knedler,Porodní sestra z Osvětimi,,CZ,
Andy Weir,Marťan,The Martian,EN,
Edgar Allan Poe,Jáma a kyvadlo,The Pit and the Pendulum,CZ,
Edgar Allan Poe,Povídky,Tales (short stories),CZ,
Miklos Nyiszli,Byl jsem Mengeleho asistentem,Auschwitz: A Doctor's Eyewitness Account,CZ,
Pavel Kosatik,100x TGM,,CZ,
Robert Slachta,Třicet let pod přísahou,,CZ,
Daniel Z. Lieberman,Dopamin,The Molecule of More,CZ,
Antoine De Saint-Exupery,Citadela,The Citadel,CZ,
Neil Gaiman,Severská mytologie,Norse Mythology,CZ,
Matthew Walker,Proč spíme,Why We Sleep,CZ,
Brit Bennett,Polovina tebe,The Vanishing Half,CZ,
Jonah Berger,Jak stvořit pecku na trhu,Contagious,CZ,
Simon Mawer,Pražské jaro,Prague Spring,CZ,
Gary Chapman,Pět jazyků lásky,The 5 Love Languages,EN,
Gary Chapman,Pět jazyků lásky pro děti,The 5 Love Languages of Children,EN,
Christopher Hadnagy,Sociální inženýrství (nepřeloženo),Social Engineering,EN,
Michal Kubal,Pandemie,,CZ,Rozecteno
William Styron,Sophiina volba,Sophie's Choice,CZ,
Kevin Mitnick,Umění neviditelnosti (nepřeloženo),The Art of Invisibility,EN,
Spielgelman,Maus,Maus,CZ,
Johann Wolfgang Goethe,Faust,Faust,CZ,
